lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
393516	2195			(di²²)	this	dem	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0942.27	10.4.3.2	Demonstrators	0
387422				(tiʔ⁴) jɑ²²	hundred	num	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0824.27	9.9	Numbers and numeric expression	0
345121			65:p,65:5274,65:m	a⁵³lĩ⁵⁵jɑ̃u²²	light	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0003.27	7.1.11.1	Light	0
407662				a⁵³lɛ⁵⁵tho⁵⁵	overthrow / down with	v.	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1237.27	10.1.1	Prepositions	0
352361				a⁵³shoʔ⁴	lung	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0143.27	1.7.2	Lung	0
401013				a⁵³tθe²²	dead		1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1089.27	1.1.6	Die/Deathly	0
375186				bẽ⁵⁵	wheel	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0587.27	5.1	Waste products	0
381495				be⁵⁵	side	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0709.27	1.4.5	Sides	0
372098				bi²²do²²	cupboard / cabinet	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0528.27			0
369678				bi⁵⁵	comb	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0481.27	1.2.2.1	Comb/Crest	0
375162				bi⁵⁵	wheel	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0587.27	5.1	Waste products	0
378906				bõ²²	drum	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0659.27	5.1	Waste products	0
356144	2582,2582,2582,2582			bo⁵⁵bo⁵⁵ (pho⁵⁵pho⁵⁵)	grandfather	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0216.27	4.7.1	Previous generation	0
369626				buʔ⁴phi⁵³nɑʔ⁴	boot	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0480.27	5.11.8.1	Footwear	0
355208				bu⁵³jĩ²²	emperor	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0198.27	4.2.5	Nobility	0
379558				bu⁵³jɑ⁵⁵	Buddha	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0672.27	5.8.2.3	Religious persons/things	0
348546				bu⁵³jɑ⁵⁵tɕɑ̃u⁵⁵	temple	nrel	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0069.27	1.2.5.1	Forehead/Temples	0
372154				bu⁵⁵	box / case	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0529.27	5.1	Waste products	0
381579	2154			bɛ²²	left	n/adv	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0710.27	1.5.3.2	Five	0
394419				bɛ²²lɑuʔ⁴	how many (a small number)	intg	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0959.27	9.9	Numbers and numeric expression	0
394096	m,5632			bɛ²²tθu²²	who	intg	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0953.27	10.5.3	WH words	0
394236				bɛ²²ɑ⁵³tɕhẽ²²	when	intg	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0956.27	10.5.3	WH words	0
389512				bɛʔ⁴	classifier for one of a pair	clf	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0871.27	9.9	Numbers and numeric expression	0
360652	5713			bɛ⁵⁵	duck	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0300.27	2.1.10	Fowl (i.e. Domestic Birds)	0
349950				bɑiʔ⁴	belly	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0096.27	1.4.7	Belly/Abdomen	0
