/reconstructions/489	PS	*ˀab-	Akkadian	abu	father	abu	a b u	b	0
/reconstructions/489	PS	*ˀab-	Ugaritic	ˀab	father	ˀab	ˀ a b	b	0
/reconstructions/489	PS	*ˀab-	Hebrew	ˀāb	father	ˀāb	ˀ ā b	b	0
/reconstructions/489	PS	*ˀab-	'Moroccan.Arabic'	ˀab-	father	ˀab-	ˀ a b	b	0
/reconstructions/489	PS	*ˀab-	Geez	ˀab	father	ˀab	ˀ a b	b	0
/reconstructions/489	PS	*ˀab-	Tigre	ˀab	father	ˀab	ˀ a b	b	0
/reconstructions/489	PS	*ˀab-	Tigrinya	ˀabbo	father	ˀabbo	ˀ a bb o	b	0
/reconstructions/489	PS	*ˀab-	Amharic	abbat	father	abbat	a bb a t	b t	0
/reconstructions/489	PS	*ˀab-	Argobba	aw, abba	father	aw	a w	w	0
/reconstructions/489	PS	*ˀab-	Argobba	aw, abba	father	abba	a bb a	b	0
/reconstructions/489	PS	*ˀab-	Harari	āw	father	āw	ā w	w	0
/reconstructions/489	PS	*ˀab-	Walani	abbä, aḇot	father	abbä	a bb ä	b	0
/reconstructions/489	PS	*ˀab-	Walani	abbä, aḇot	father	aḇot	a ḇ o t	ḇ t	0
/reconstructions/489	PS	*ˀab-	Zway	ābu	father	ābu	ā b u	b	0
/reconstructions/489	PS	*ˀab-	Soqotri	éˀeb, eb	big (m.)	éˀeb	éˀ e b	b	0
/reconstructions/489	PS	*ˀab-	Soqotri	éˀeb, eb	big (m.)	eb	e b	b	0
/reconstructions/359	PS	*ˀabbVk-	Tigre	ˀabbəkiki	a small bird of light-yellow colour (probably a sort of lapwing)	ˀabbəkiki	ˀ a bb ə k i k i	b k k	1
/reconstructions/361	PS	*ˀVbbVl-	Akkadian	ibbiltu	a bird	ibbiltu	i bb i l t u	b l t	0
/reconstructions/361	PS	*ˀVbbVl-	'Moroccan.Arabic'	ˀabābīl-	(pl.) nom d'oiseaux fabuleux (name of fabulous birds)	ˀabābīl-	ˀ a b ā b ī l	b b l	1
/reconstructions/361	PS	*ˀVbbVl-	Geez	bābil	name of a fictious bird	bābil	b ā b i l	b b l	1
/reconstructions/361	PS	*ˀVbbVl-	Tigre	ˀambäla	Webervogel	ˀambäla	ˀ a m b ä l a	m b l	0
/reconstructions/361	PS	*ˀVbbVl-	Tigre	nab(ə)l, nabil (pl. ˀanabəl)	a bird of prey	nab	n a b	n b	0
/reconstructions/361	PS	*ˀVbbVl-	Amharic	amballa	a white aquatic bird which travels in flocks	amballa	a m b a ll a	m b l	0
/reconstructions/99	PS	*ˀabn-	Akkadian	abnu	stone	abnu	a b n u	b n	0
/reconstructions/99	PS	*ˀabn-	Ugaritic	ˀabn	stone	ˀabn	ˀ a b n	b n	0
/reconstructions/99	PS	*ˀabn-	Hebrew	ˀäbän	stone	ˀäbän	ˀ ä b ä n	b n	0
/reconstructions/99	PS	*ˀabn-	Geez	ˀəbn	stone	ˀəbn	ˀ ə b n	b n	0
/reconstructions/99	PS	*ˀabn-	Tigre	ˀəbən	stone	ˀəbən	ˀ ə b ə n	b n	0
/reconstructions/99	PS	*ˀabn-	Tigrinya	ˀəmni	stone	ˀəmni	ˀ ə m n i	m n	0
/reconstructions/99	PS	*ˀabn-	Harari	ūn	stone	ūn	ū n	n	0
/reconstructions/99	PS	*ˀabn-	Soddo	əmmayyä	stone	əmmayyä	ə mm a yy ä	m y	0
/reconstructions/99	PS	*ˀabn-	Soqotri	óˀoben, óben	stone	óˀoben	óˀ o b e n	b n	0
/reconstructions/99	PS	*ˀabn-	Soqotri	óˀoben, óben	stone	óben	ó b e n	b n	0
/reconstructions/773	PS	*ˀbr	Akkadian	abāru	strength	abāru	a b ā r u	b r	0
/reconstructions/773	PS	*ˀbr	Akkadian	abru	strong	abru	a b r u	b r	0
/reconstructions/773	PS	*ˀbr	'Moroccan.Arabic'	ˀbr	to be in a good, right, proper state	ˀbr	ˀ b r	b r	0
/reconstructions/773	PS	*ˀbr	Amharic	əbrit	conceit, vanity, arrogance; period of wealth; right, rule	əbrit	ə b r i t	b r t	0
/reconstructions/773	PS	*ˀbr	Chaha	abər	young person or animal in its prime	abər	a b ə r	b r	0
/reconstructions/773	PS	*ˀbr	Mesmes	awər	young person or animal in its prime	awər	a w ə r	w r	0
/reconstructions/773	PS	*ˀbr	Innemor	aḇər	young person or animal in its prime	aḇər	a ḇ ə r	ḇ r	0
/reconstructions/773	PS	*ˀbr	Geto	aḇər	young person or animal in its prime	aḇər	a ḇ ə r	ḇ r	0
/reconstructions/375	PS	*ˀa/ibr-	Akkadian	abru	wing, fin	abru	a b r u	b r	0
