1	aća	Estonian	 	aas	(gute) Wiese, Bachwiese	aas	aas	aa s	s	0
1	aća	Hungarian	Alt	aszó	Fluß, Bach	aszó	aszó	a S ó	S	0
1	aća	Mordvin	E	käńiŕ	Vorderarm; Elle	käńiŕ	käńiŕ	k ä ń i ŕ	k ń ŕ	0
1	aća	Komi	SM	aʒ́	пойма	aʒ́	aʒ́	a ʒ́	ʒ́	0
1	aća	Hungarian	Alt	aszó	Tal, Niederung; ein Tal, in dem in Regenperioden und zur Zeit der Frühjahrsschneeschmelze ein kleiner Bach fließt, das aber sonst trocken ist	aszó	aszó	a S ó	S	0
1	aća	Komi	VO	aʒ́	прорубь	aʒ́	aʒ́	a ʒ́	ʒ́	0
1	aća	Mordvin	E	keńir	Vorderarm; Elle	keńir	keńir	k e ń i r	k ń r	0
1	aća	Udmurt	S	aź-dor	безлесистая местность, нелесистая	aź-dor	aź	a ź	ź	0
1	aća	Mordvin	E	keńďir	Vorderarm; Elle	keńďir	keńďir	k e ń ď i r	k ń ď r	0
1	aća	Mordvin	E	keńeŕee	Vorderarm; Elle	keńeŕee	keńeŕee	k e ń e ŕ ee	k ń ŕ	0
1	aća	Komi	Lu	aʒ́	gute, trockene Wiese	aʒ́	aʒ́	a ʒ́	ʒ́	0
2	ačka	Mari	B	oš	weiß	oš	oš	o š	š	0
2	ačka	Finnish	reg	haahka	eidergås, Eidergans (anas mollissima), gudunge; Männchen der Eider (fuligula mollissima), knipa, Schellente (fuligula clangula)	haahka	haahka	h aa h k a	h h k	1
2	ačka	Mari	KB	oš	weiß	oš	oš	o š	š	0
2	ačka	Mordvin	E	ašo	weiß, rein	ašo	ašo	a š o	š	0
2	ačka	Estonian	 	hahk	grau	hahk	hahk	h a h k	h h k	1
2	ačka	Mari	U	ošo	weiß, blond, rein	ošo	ošo	o š o	š	0
2	ačka	Mari	U	oš	weiß, blond, rein	oš	oš	o š	š	0
2	ačka	Finnish	reg	haahkea	grå; grau	haahkea	haahkea	h aa h k e a	h h k	1
2	ačka	Mari	B	ošo	weiß	ošo	ošo	o š o	š	0
2	ačka	Finnish	reg	ahka	eidergås, Eidergans (anas mollissima)	ahka	ahka	a h k a	h k	0
2	ačka	Khanty	DN	aš	weißer Ton, Lehm	aš	aš	a š	š	0
2	ačka	Mari	KB	ošə̑	weiß	ošə̑	ošə̑	o š ə̑	š	0
2	ačka	Estonian	 	ahka	Eiderente (somateria mollissima)	ahka	ahka	a h k a	h k	0
2	ačka	Mordvin	M	akša	weiß; rein	akša	akša	a k š a	k š	0
2	ačka	Finnish	reg	hahkea	grå; grau	hahkea	hahkea	h a h k e a	h h k	1
2	ačka	Finnish	reg	hahka	eidergås, Eidergans (anas mollissima), Männchen der Eider (fuligula mollissima), knipa, Schellente (fuligula clangula)	hahka	hahka	h a h k a	h h k	1
2	ačka	Khanty	Kaz	aš-ʌampĭ	spröde	aš-ʌampĭ	aš	a š	š	0
2	ačka	Khanty	C	ȧš	weißer Ton, Lehm, Kreide	ȧš	ȧš	ȧ š	š	0
3	aδ̕ɜ	Komi	P	oľ-paś	Bett	oľ-paś	oľ	o ľ	ľ	0
3	aδ̕ɜ	Udmurt	S	vaľes	Bett, Matraze, Unterbett	vaľes	vaľes	v a ľ e s	v ľ s	0
3	aδ̕ɜ	Komi	PO	uľ-paś	Bett, Lager	uľ-paś	uľ	u ľ	ľ	0
3	aδ̕ɜ	Udmurt	G	waľ-	ausbreiten, unterbreiten (eine Decke), aufdecken (z.B. einen Tisch)	waľ-	waľ	w a ľ	w ľ	0
3	aδ̕ɜ	Komi	I	voľ	als Bett ausgebreitete Rentierhaut	voľ	voľ	v o ľ	v ľ	0
3	aδ̕ɜ	Udmurt	G	waľes	Bett, Matraze, Unterbett	waľes	waľes	w a ľ e s	w ľ s	0
3	aδ̕ɜ	Komi	Ud	voľ	Rentierhaut	voľ	voľ	v o ľ	v ľ	0
3	aδ̕ɜ	Mansi	TJ	aľā·t	Bett	aľā·t	aľā·t	a ľ ā · t	ľ · t	0
3	aδ̕ɜ	Komi	S	voľ-paś	Bett	voľ-paś	voľ	v o ľ	v ľ	0
3	aδ̕ɜ	Mansi	So	ɔ̄ľat-pum	Bettheu	ɔ̄ľat-pum	ɔ̄ľat	ɔ̄ ľ a t	ľ t	0
3	aδ̕ɜ	Hungarian	 	ágy	Bett; Beet; Bodensatz	ágy	ágy	á G	G	0
3	aδ̕ɜ	Hungarian	reg	ágy-	Getreidegarten zum Drusch oder zum Austreten auf die Tenne ausbreiten	ágy-	ágy	á G	G	0
3	aδ̕ɜ	Mansi	So	ɔ̄ľat-jiw	Bettheu	ɔ̄ľat-jiw	ɔ̄ľat	ɔ̄ ľ a t	ľ t	0
3	aδ̕ɜ	Udmurt	S	vaľ-	ausbreiten, unterbreiten (eine Decke), aufdecken (z.B. einen Tisch)	vaľ-	vaľ	v a ľ	v ľ	0
3	aδ̕ɜ	Komi	S	voľ	Rentierhaut	voľ	voľ	v o ľ	v ľ	0
4	aja-	Northern_Sami	Not	vuajje-	fahren, lenken	vuajje-	vuajje	v u a jj e	v j	0
4	aja-	Northern_Sami	L	vuodjē-	fahren (mit Rentier od. Pferd), fahren (Bauholz, Heu, Fuhren u.ä.)	vuodjē-	vuodjē	v u o d j ē	v d j	0
4	aja-	Komi	Skr	voj-	иметь норов, не слушаясь повода, очень быстро спускаться с горы	voj-	voj	v o j	v j	0
4	aja-	Udmurt	S	uj-	verfolgen, treiben	uj-	uj	u j	j	0
4	aja-	Udmurt	K	u̇j-	verfolgen, treiben	u̇j-	u̇j	u̇ j	j	0
4	aja-	Udmurt	G	ujị̑-	verfolgen, nachjagen, einholen	ujị̑-	ujị̑	u j ị̑	j	0
4	aja-	Northern_Sami		aggje-	drive	aggje-	aggje	a gg j e	g j	0
4	aja-	Komi	I	vojed-	бежать, побежать, пробежать	vojed-	vojed	v o j e d	v j d	0
4	aja-	Komi	S	voj-	durchgehen od. ausreißen mit etw., schnell fortbringen	voj-	voj	v o j	v j	0
4	aja-	Mansi	K	wujt-	verfolgen	wujt-	wujt	w u j t	w j t	0
4	aja-	Udmurt	S	uĺ-	verfolgen, treiben	uĺ-	uĺ	u ĺ	ĺ	0
4	aja-	Komi	I	vojli̮-	бегать, скакать, носиться, рыскать	vojli̮-	vojli̮	v o j l i̮	v j l	0
4	aja-	Komi	I	vojledli̮-	treiben, jagen	vojledli̮-	vojledli̮	v o j l e d l i̮	v j l d l	0
4	aja-	Northern_Sami	N	vuoggje-	drive (a horse, reindeer), drive on, drive over	vuoggje-	vuoggje	v u o gg j e	v g j	0
4	aja-	Northern_Sami	Kld	vujje-	fahren, lenken	vujje-	vujje	v u jj e	v j	0
4	aja-	Northern_Sami	T	vi̊̄jje-	fahren, lenken	vi̊̄jje-	vi̊̄jje	v i̊̄ jj e	v j	0
4	aja-	Estonian	 	aja-	fortbewegen, treiben; nachgehen, verfolgen; sich wohin begeben	aja-	aja	a j a	j	0
4	aja-	Mansi	KO	vujt-	verfolgen, jagen	vujt-	vujt	v u j t	v j t	0
4	aja-	Finnish	 	aja-	treiben, jagen; fahren	aja-	aja	a j a	j	0
4	aja-	Komi	Vm	vojli̮-	бегать, скакать, носиться, рыскать	vojli̮-	vojli̮	v o j l i̮	v j l	0
4	aja-	Mansi	KM	wojt-	verfolgen	wojt-	wojt	w o j t	w j t	0
5	ajŋe	Finnish	 	aivo(t)	Gehirn, Hirn, Schläfe, Schläfenbein	aivo	aivo	a i v o	v	0
5	ajŋe	Hungarian	 	agy	Gehirn, Mark; Nabe	agy	agy	a G	G	0
5	ajŋe	Finnish	 	aivena	Schlaf, Schlafbein	aivena	aivena	a i v e n a	v n	0
5	ajŋe	Northern_Sami	Not	vuevešn	Gehirn	vuevešn	vuevešn	v u e v e š n	v v š n	1
5	ajŋe	Hungarian	Alt	agy	Schädel	agy	agy	a G	G	0
5	ajŋe	Northern_Sami	Kld	vujvešn	Gehirn	vujvešn	vujvešn	v u j v e š n	v j v š n	0
5	ajŋe	Northern_Sami	L	vuoiŋam ~ vuoiˈŋam	Gehirn (auch der Plur. wird für ein einzelnes Gehirn gebraucht)	vuoiŋam 	vuoiŋam	v u o i ŋ a m	v ŋ m	0
5	ajŋe	Northern_Sami	L	vuoiŋam ~ vuoiˈŋam	Gehirn (auch der Plur. wird für ein einzelnes Gehirn gebraucht)	 vuoiˈŋam	vuoiˈŋam	v u o iˈ ŋ a m	v ŋ m	0
5	ajŋe	Mordvin	M	uj	Mark, Gehirn	uj	uj	u j	j	0
5	ajŋe	Mordvin	M	uj	мозг	uj	uj	u j	j	0
5	ajŋe	Estonian	 	aju	Gehirn, Verstand	aju	aju	a j u	j	0
5	ajŋe	Northern_Sami	N	vuoigŋâš-: vuoiˈgŋâšâk	brain	vuoiˈgŋâšâk	vuoiˈgŋâšâk	v u o iˈ g ŋ â š â k	v g ŋ š k	0
6	akta-	Mordvin	E	aftuma	verkko; Netz	aftuma	aftuma	a f t u m a	f t m	0
6	akta-	Mari	KB	opte-	legen; gießen, schütten (Wasser, Getreide), bauen (ein Nest)	opte-	opte	o p t e	p t	0
6	akta-	Udmurt	 	uktus	поперечина сохи (перекладина закрепляющая оглобли)	uktus	uktus	u k t u s	k t s	0
6	akta-	Northern_Sami	Wfs	wŭ͕o͕kχtȧje	in die Erde eingeschlagener Pfal zum Aufhängen und Trocknen der Netze	wŭ͕o͕kχtȧje	wŭ͕o͕kχtȧje	w ŭ͕ o͕ k χ t ȧ j e	w k χ t j	0
6	akta-	Estonian	 	ahti-	aufstecken (Getreide zum Darren)	ahti-	ahti	a h t i	h t	0
6	akta-	Komi	Ud	okti̮m	großer Haken (Angel) an einer Schnur zum Fangen von Fischen	okti̮m	okti̮m	o k t i̮ m	k t m	0
6	akta-	Mari	B	optoš	петля для ловли уток	optoš	optoš	o p t o š	p t š	0
6	akta-	Komi	V	okta	Falle	okta	okta	o k t a	k t	0
6	akta-	Komi	SO	o˰kti̮-	насторожить звероловное оружие	o˰kti̮-	o˰kti̮	o˰ k t i̮	k t	0
6	akta-	Mari	U	opte-	legen; gießen, schütten (Wasser, Getreide), bauen (ein Nest), errichten	opte-	opte	o p t e	p t	0
6	akta-	Komi	Lu	okti̮-	(eine Falle od. ein Fangeisen) aufstellen	okti̮-	okti̮	o k t i̮	k t	0
6	akta-	Mari	Č	oktə̑š	петля для ловли уток	oktə̑š	oktə̑š	o k t ə̑ š	k t š	0
6	akta-	Khanty	DN	eχət-	aufhängen	eχət-	eχət	e χ ə t	χ t	0
6	akta-	Finnish	 	ahta- riihi	eine Darre mit Getreide füllen	ahta- riihi	ahta	a h t a	h t	0
6	akta-	Khanty	Kaz	ĭχət-	aufhängen	ĭχət-	ĭχət	ĭ χ ə t	χ t	0
6	akta-	Estonian	 	ahta-	aufstecken (Getreide zum Darren)	ahta-	ahta	a h t a	h t	0
