1	aća	Estonian	 	aas	(gute) Wiese, Bachwiese	aas	aas
1	aća	? Hungarian	Alt	aszó	Fluß, Bach	aszó	aszó
1	aća	Mordvin	E	käńiŕ	Vorderarm; Elle	käńiŕ	käńiŕ
1	aća	Komi/Zyryan	SM	aʒ́	пойма	aʒ́	aʒ́
1	aća	? Hungarian	Alt	aszó	Tal, Niederung; ein Tal, in dem in Regenperioden und zur Zeit der Frühjahrsschneeschmelze ein kleiner Bach fließt, das aber sonst trocken ist	aszó	aszó
1	aća	Komi/Zyryan	VO	aʒ́	прорубь	aʒ́	aʒ́
1	aća	Mordvin	E	keńir	Vorderarm; Elle	keńir	keńir
1	aća	? Udmurt/Votyak	S	aź-dor	безлесистая местность, нелесистая	aź-dor	aź
1	aća	Mordvin	E	keńďir	Vorderarm; Elle	keńďir	keńďir
1	aća	Mordvin	E	keńeŕee	Vorderarm; Elle	keńeŕee	keńeŕee
1	aća	Komi/Zyryan	Lu	aʒ́	gute, trockene Wiese	aʒ́	aʒ́
2	ačka	Mari/Cheremis	B	oš	weiß	oš	oš
2	ačka	? Finnish	reg	haahka	eidergås, Eidergans (anas mollissima), gudunge; Männchen der Eider (fuligula mollissima), knipa, Schellente (fuligula clangula)	haahka	haahka
2	ačka	Mari/Cheremis	KB	oš	weiß	oš	oš
2	ačka	Mordvin	E	ašo	weiß, rein	ašo	ašo
2	ačka	? Estonian	 	hahk	grau	hahk	hahk
2	ačka	Mari/Cheremis	U	ošo	weiß, blond, rein	ošo	ošo
2	ačka	Mari/Cheremis	U	oš	weiß, blond, rein	oš	oš
2	ačka	? Finnish	reg	haahkea	grå; grau	haahkea	haahkea
2	ačka	Mari/Cheremis	B	ošo	weiß	ošo	ošo
2	ačka	? Finnish	reg	ahka	eidergås, Eidergans (anas mollissima)	ahka	ahka
2	ačka	? Khanty/Ostyak	DN	aš	weißer Ton, Lehm	aš	aš
2	ačka	Mari/Cheremis	KB	ošə̑	weiß	ošə̑	ošə̑
2	ačka	? Estonian	 	ahka	Eiderente (somateria mollissima)	ahka	ahka
2	ačka	Mordvin	M	akša	weiß; rein	akša	akša
2	ačka	? Finnish	reg	hahkea	grå; grau	hahkea	hahkea
2	ačka	? Finnish	reg	hahka	eidergås, Eidergans (anas mollissima), Männchen der Eider (fuligula mollissima), knipa, Schellente (fuligula clangula)	hahka	hahka
2	ačka	? Khanty/Ostyak	Kaz	aš-ʌampĭ	spröde	aš-ʌampĭ	aš
2	ačka	? Khanty/Ostyak	C	ȧš	weißer Ton, Lehm, Kreide	ȧš	ȧš
3	aδ̕ɜ	Komi/Zyryan	P	oľ-paś	Bett	oľ-paś	oľ
3	aδ̕ɜ	Udmurt/Votyak	S	vaľes	Bett, Matraze, Unterbett	vaľes	vaľes
3	aδ̕ɜ	Komi/Zyryan	PO	uľ-paś	Bett, Lager	uľ-paś	uľ
3	aδ̕ɜ	Udmurt/Votyak	G	waľ-	ausbreiten, unterbreiten (eine Decke), aufdecken (z.B. einen Tisch)	waľ-	waľ
3	aδ̕ɜ	Komi/Zyryan	I	voľ	als Bett ausgebreitete Rentierhaut	voľ	voľ
3	aδ̕ɜ	Udmurt/Votyak	G	waľes	Bett, Matraze, Unterbett	waľes	waľes
3	aδ̕ɜ	Komi/Zyryan	Ud	voľ	Rentierhaut	voľ	voľ
3	aδ̕ɜ	Mansi/Vogul	TJ	aľā·t	Bett	aľā·t	aľā·t
3	aδ̕ɜ	Komi/Zyryan	S	voľ-paś	Bett	voľ-paś	voľ
3	aδ̕ɜ	Mansi/Vogul	So	ɔ̄ľat-pum	Bettheu	ɔ̄ľat-pum	ɔ̄ľat
3	aδ̕ɜ	Hungarian	 	ágy	Bett; Beet; Bodensatz	ágy	ágy
3	aδ̕ɜ	Hungarian	reg	ágy-	Getreidegarten zum Drusch oder zum Austreten auf die Tenne ausbreiten	ágy-	ágy
3	aδ̕ɜ	Mansi/Vogul	So	ɔ̄ľat-jiw	Bettheu	ɔ̄ľat-jiw	ɔ̄ľat
3	aδ̕ɜ	Udmurt/Votyak	S	vaľ-	ausbreiten, unterbreiten (eine Decke), aufdecken (z.B. einen Tisch)	vaľ-	vaľ
3	aδ̕ɜ	Komi/Zyryan	S	voľ	Rentierhaut	voľ	voľ
4	aja-	Saami/Lappish	Not	vuajje-	fahren, lenken	vuajje-	vuajje
4	aja-	Saami/Lappish	L	vuodjē-	fahren (mit Rentier od. Pferd), fahren (Bauholz, Heu, Fuhren u.ä.)	vuodjē-	vuodjē
4	aja-	Komi/Zyryan	Skr	voj-	иметь норов, не слушаясь повода, очень быстро спускаться с горы	voj-	voj
4	aja-	Udmurt/Votyak	S	uj-	verfolgen, treiben	uj-	uj
4	aja-	Udmurt/Votyak	K	u̇j-	verfolgen, treiben	u̇j-	u̇j
4	aja-	Udmurt/Votyak	G	ujị̑-	verfolgen, nachjagen, einholen	ujị̑-	ujị̑
4	aja-	Saami/Lappish		aggje-	drive	aggje-	aggje
4	aja-	Komi/Zyryan	I	vojed-	бежать, побежать, пробежать	vojed-	vojed
4	aja-	Komi/Zyryan	S	voj-	durchgehen od. ausreißen mit etw., schnell fortbringen	voj-	voj
4	aja-	Mansi/Vogul	K	wujt-	verfolgen	wujt-	wujt
4	aja-	Udmurt/Votyak	S	uĺ-	verfolgen, treiben	uĺ-	uĺ
4	aja-	Komi/Zyryan	I	vojli̮-	бегать, скакать, носиться, рыскать	vojli̮-	vojli̮
4	aja-	Komi/Zyryan	I	vojledli̮-	treiben, jagen	vojledli̮-	vojledli̮
